run,NrBeeSurvivors,FighterCollectorRatio,NrMurderContracts,BeeCap100Ratio,BeePerformance,flower_count,bee_count,bee_sight,buzzer_count,max_capacity,hive_count,comm_radius,RatioBeeBuzzer
303,0,1,1,0.779220779,0,10,4,12,8,30,1,4,0.5
305,0,1,2,0.779220779,0,10,4,12,8,30,1,10,0.5
307,0,1,2,0.779220779,0,10,4,12,8,30,1,16,0.5
309,0,1,0,0.779220779,0,10,4,12,10,30,1,1,0.4
311,0,1,1,0.779220779,0,10,4,12,10,30,1,7,0.4
313,0,1,1,0.779220779,0,10,4,12,10,30,1,13,0.4
315,0,1,2,0.779220779,0,10,4,12,10,30,1,19,0.4
317,0,1,1,0.779220779,0,10,4,12,12,30,1,4,0.333333333
319,0,1,0,0.779220779,0,10,4,12,12,30,1,10,0.333333333
321,0,1,1,0.779220779,0,10,4,12,12,30,1,16,0.333333333
323,0,1,0,0.779220779,0,10,4,12,14,30,1,1,0.285714286
325,0,1,0,0.779220779,0,10,4,12,14,30,1,7,0.285714286
327,0,1,0,0.779220779,0,10,4,12,14,30,1,13,0.285714286
329,0,1,1,0.779220779,0,10,4,12,14,30,1,19,0.285714286
331,0,1,1,0.779220779,0,10,4,12,16,30,1,4,0.25
333,0,1,0,0.779220779,0,10,4,12,16,30,1,10,0.25
335,0,1,1,0.779220779,0,10,4,12,16,30,1,16,0.25
337,0,1,0,0.779220779,0,10,4,12,18,30,1,1,0.222222222
339,0,1,0,0.779220779,0,10,4,12,18,30,1,7,0.222222222
341,0,1,0,0.779220779,0,10,4,12,18,30,1,13,0.222222222
343,0,1,1,0.779220779,0,10,4,12,18,30,1,19,0.222222222
345,0,1,0,0.779220779,0,10,4,12,20,30,1,4,0.2
347,0,1,0,0.779220779,0,10,4,12,20,30,1,10,0.2
349,0,1,1,0.779220779,0,10,4,12,20,30,1,16,0.2
351,4,1,0,0.779220779,77.92207792,10,4,14,2,30,1,1,2
353,2,1,1,0.779220779,38.96103896,10,4,14,2,30,1,7,2
355,4,1,0,0.779220779,77.92207792,10,4,14,2,30,1,13,2
357,1,1,2,0.779220779,19.48051948,10,4,14,2,30,1,19,2
359,4,1,0,0.779220779,77.92207792,10,4,14,4,30,1,4,1
361,0,1,1,0.779220779,0,10,4,14,4,30,1,10,1
363,1,1,2,0.779220779,19.48051948,10,4,14,4,30,1,16,1
365,0,1,0,0.779220779,0,10,4,14,6,30,1,1,0.666666667
367,0,1,2,0.779220779,0,10,4,14,6,30,1,7,0.666666667
369,0,1,1,0.779220779,0,10,4,14,6,30,1,13,0.666666667
371,1,1,3,0.779220779,19.48051948,10,4,14,6,30,1,19,0.666666667
373,0,1,1,0.779220779,0,10,4,14,8,30,1,4,0.5
375,1,1,1,0.779220779,19.48051948,10,4,14,8,30,1,10,0.5
377,0,1,2,0.779220779,0,10,4,14,8,30,1,16,0.5
379,0,1,0,0.779220779,0,10,4,14,10,30,1,1,0.4
381,0,1,1,0.779220779,0,10,4,14,10,30,1,7,0.4
383,1,1,2,0.779220779,19.48051948,10,4,14,10,30,1,13,0.4
385,1,1,2,0.779220779,19.48051948,10,4,14,10,30,1,19,0.4
387,0,1,0,0.779220779,0,10,4,14,12,30,1,4,0.333333333
389,0,1,0,0.779220779,0,10,4,14,12,30,1,10,0.333333333
